p,q,rho,CVaR,CVaR.se
0.79,0.6074972720275968,-1,-0.41941588461986834,0.0020156328428267206
0.79,0.5290165710613239,-0.5,-0.3617959963531144,0.0017713423174816937
0.79,0.4361662148700388,0,-0.29355030413157546,0.0014994506254017632
0.79,0.31599570065421395,0.5,-0.20494532666879564,0.0012168891866651175
0.79,0.16063251400385337,0.9,-0.08890996025319879,0.001410258834213698
0.79,0.1265692642065356,0.95,-0.0628837736520183,0.0018020766625551092
0.79,0.0650545198931647,1,-0.017204276792048428,0.005523880122449292
0.8,0.6394559400871995,-1,-0.40635692555153435,0.0019546443353083997
0.8,0.5567117162218385,-0.5,-0.35046098760999883,0.0017176774580922743
0.8,0.4588177950401465,0,-0.2842536418126675,0.0014535276732173127
0.8,0.33209006479898806,0.5,-0.1982841360186534,0.0011766547558195483
0.8,0.16811649056221384,0.9,-0.0856460696053179,0.001346960380411134
0.8,0.13212744515702168,0.95,-0.06035890741113112,0.0017223760947257672
0.8,0.0671862261635102,1,-0.017351966075359188,0.005346782115383655
0.81,0.6733441031430267,-1,-0.3932131753073887,0.0018933964297314172
0.81,0.5860740261960538,-0.5,-0.33905272131591707,0.001663830296179581
0.81,0.48279848576101303,0,-0.2748975077778522,0.001407539597243245
0.81,0.34912296962970335,0.5,-0.19158140135401291,0.0011366006572552986
0.81,0.17597077853818066,0.9,-0.08236366221954905,0.0012837064528225203
0.81,0.13794675296602477,0.95,-0.05781901843061685,0.0016418790938786032
0.81,0.06935340001779544,1,-0.01626106627062173,0.005178796741750621
0.8200000000000001,0.7092867655201996,-1,-0.379963625472732,0.001831781279811172
0.8200000000000001,0.6171948521635239,-0.5,-0.32755309598074533,0.001609717039262574
0.8200000000000001,0.5082804784574741,0,-0.26546706149231625,0.0013614488454175345
0.8200000000000001,0.3671692341073541,0.5,-0.184826963293314,0.0010967813206200063
0.8200000000000001,0.18429914435049105,0.9,-0.0790577292646066,0.0012202060319612574
0.8200000000000001,0.14407844896377073,0.95,-0.05526088631421621,0.0015604363742867961
0.8200000000000001,0.07176954451198173,1,-0.01326947686421616,0.005006419462227864
0.8300000000000001,0.7476796791656681,-1,-0.3665846455416479,0.0017697312782629425
0.8300000000000001,0.6504706005710245,-0.5,-0.3159415910740609,0.0015552916907191924
0.8300000000000001,0.5354465401091133,0,-0.2559458199505335,0.0013152147184119542
0.8300000000000001,0.38643298839018975,0.5,-0.17800910415989335,0.0010571702192417771
0.8300000000000001,0.1930866885391586,0.9,-0.07572460635196097,0.0011571925112146757
0.8300000000000001,0.15055817811342287,0.95,-0.05268156844835018,0.0014782441149008845
0.8300000000000001,0.07400151670431543,1,-0.011565187944589859,0.004891381741298689
0.8400000000000001,0.788928817528738,-1,-0.35304974588191607,0.0017071560727081375
0.8400000000000001,0.6861732775327705,-0.5,-0.30419539672488427,0.0015004728517662355
0.8400000000000001,0.5646301153200525,0,-0.24631504548049457,0.0012687945452249181
0.8400000000000001,0.407079821895921,0.5,-0.17111490321462028,0.001017796119342926
0.8400000000000001,0.2025176896475827,0.9,-0.07235749262905598,0.0010940631069811034
0.8400000000000001,0.15743642982996953,0.95,-0.05007765625037989,0.0013954518185821656
0.8400000000000001,0.0763682383268038,1,-0.008997695533759769,0.0047337672731238905
0.85,0.8333802541902029,-1,-0.339328940758505,0.001643931710503945
0.85,0.7246981221500396,-0.5,-0.29228849380300587,0.001445179924446099
0.85,0.5960845800109396,0,-0.23655368059108103,0.0012221397831009245
0.85,0.4293592289128431,0.5,-0.1641294985368944,9.78661842841001e-4
0.85,0.21262332101022796,0.9,-0.06895117408101256,0.001031502469128109
0.85,0.16480450716563788,0.95,-0.04744470989383669,0.001311919609966145
0.85,0.07856220749388299,1,-0.008045624728064166,0.00453063843871667
0.86,0.8817012118936347,-1,-0.32538751297769386,0.0015799559762405292
0.86,0.7665679115327002,-0.5,-0.28019090155788096,0.0013893267978058142
0.86,0.630265533055282,0,-0.22663725504832877,0.001175199385544125
0.86,0.45354761310647707,0.5,-0.15703585792625138,9.397889083395227e-4
0.86,0.2235286465416321,0.9,-0.06549853602863775,9.69728793582408e-4
0.86,0.17270394149582888,0.95,-0.044779194478636875,0.0012283274124998906
0.86,0.08102688515920067,1,-0.006928262978404642,0.00441050847326511
0.87,0.9345618313660127,-1,-0.3111851249529772,0.001515087503933358
0.87,0.812323991980468,-0.5,-0.2678677715300362,0.0013328033620681053
0.87,0.6676424016255048,0,-0.21653737819192886,0.00112791462295336
0.87,0.4799564865586275,0.5,-0.14981416694231214,9.012110542276501e-4
0.87,0.23539524584569677,0.9,-0.06199125096032371,9.090164595834801e-4
0.87,0.1812427832213665,0.95,-0.04207580203098317,0.001144857968326444
0.87,0.08414790908786719,1,-0.006660999111621307,0.0042407043811245335
0.88,0.9928724428310806,-1,-0.2966740126191811,0.001449171306940744
0.88,0.8628330817237224,-0.5,-0.25527770690048673,0.0012755027513360001
0.88,0.7088674175451077,0,-0.20622037504025792,0.0010802207783242761
0.88,0.5091117503112312,0.5,-0.1424406418583873,8.629192679238147e-4
0.88,0.24843344041179827,0.9,-0.058419477278618764,8.497288710449919e-4
0.88,0.19059394304912658,0.95,-0.03932758285107763,0.0010614666921303093
0.88,0.08702077920395557,1,-0.008168104838452829,0.004136996383935314
0.89,1.0578721810024074,-1,-0.28179672049650467,0.0013820317541026943
0.89,0.9191111094214882,-0.5,-0.24237104125358244,0.001217289491624927
0.89,0.754797155013075,0,-0.1956457422113051,0.0010320452108123779
0.89,0.5415631018995575,0.5,-0.13488696448407048,8.24950002301124e-4
0.89,0.26288571753087087,0.9,-0.05477173595903112,7.924803197080298e-4
0.89,0.20088108206056765,0.95,-0.036527808518926126,9.790744954646343e-4
0.89,0.09035387880419869,1,-0.007617697076011811,0.004012270297583583
0.9,1.1311173503248395,-1,-0.2664829564785566,0.0013134505327768707
0.9,0.9825700377927926,-0.5,-0.22908690907650836,0.0011580101937708166
0.9,0.8065836516255307,0,-0.1847638650444901,9.833059327277252e-4
0.9,0.5781417296344632,0.5,-0.12711821037146542,7.873181526761625e-4
0.9,0.27913102300706516,0.9,-0.05103351731445348,7.378094193178527e-4
0.9,0.21238750008656748,0.95,-0.033665980298928005,8.978621524875745e-4
0.9,0.09370187263636076,1,-0.006504947891280864,0.0038255034485387457
0.91,1.2148647613112857,-1,-0.25064473916583,0.0012431762395692574
0.91,1.0550845410171399,-0.5,-0.21534922223006425,0.0010974778065886727
0.91,0.865764278150283,0,-0.17351271523046674,9.339072663311543e-4
0.91,0.6199148748231786,0.5,-0.1190907828192381,7.500574526852536e-4
0.91,0.29760431075047866,0.9,-0.04718729874487802,6.866106224805898e-4
0.91,0.2253937644766815,0.95,-0.030730304439718872,8.189829879285939e-4
0.91,0.09778061097189028,1,-0.004376507731419151,0.003661501487886409
0.92,1.312274999808912,-1,-0.2341692759988818,0.0011708965600334181
0.92,1.1394002265408558,-0.5,-0.20106034817668592,0.0010354740497714604
0.92,0.9345771487527419,0,-0.16181268133199656,8.837415936146873e-4
0.92,0.6684941201618739,0.5,-0.11074857495128095,7.131974896345753e-4
0.92,0.31906865801463846,0.9,-0.0432094001398193,6.394689520434273e-4
0.92,0.24040606826977262,0.95,-0.0277040927272162,7.433985328998248e-4
0.92,0.10247788957947135,1,-0.0033561046142690453,0.0034760907583340894
0.93,1.4279049022277845,-1,-0.21690753815244765,0.0010962147986380043
0.93,1.2394892711805878,-0.5,-0.1860912878441642,9.717272612193884e-4
0.93,1.0162647505517555,0,-0.1495585671105387,8.326826781298814e-4
0.93,0.7261526236019393,0.5,-0.10201751795441456,6.767907791379226e-4
0.93,0.3444542431129946,0.9,-0.03906922391292085,5.973144516290153e-4
0.93,0.2581262760521003,0.95,-0.02456643131721614,6.730229262022491e-4
0.93,0.10790358475603037,1,-4.811426058000768e-4,0.00322263586072863
0.9400000000000001,1.569008501640422,-1,-0.19865497172081803,0.0010186368869493452
0.9400000000000001,1.36165702034151,-0.5,-0.17026496915357764,9.05909572537652e-4
0.9400000000000001,1.115987940078563,0,-0.1366059277448337,7.805927741760765e-4
0.9400000000000001,0.7965244216160158,0.5,-0.09279578541842452,6.409044155664503e-4
0.9400000000000001,0.37543962087529137,0.9,-0.03472282697643717,5.606067371534543e-4
0.9400000000000001,0.27966711913301084,0.95,-0.021289509791476587,6.104912861557787e-4
0.9400000000000001,0.11326628133144401,1,0.0012253540993064466,0.0030406432419445954
0.9500000000000001,1.7476624214622565,-1,-0.17911702867595114,9.375193038742563e-4
0.9500000000000001,1.5163326102150114,-0.5,-0.15332642424034232,8.376092532632605e-4
0.9500000000000001,1.2421648156558949,0,-0.122746799506142,7.273167001107477e-4
0.9500000000000001,0.8855803083336006,0.5,-0.08293671214369999,6.056443654938695e-4
0.9500000000000001,0.4146358647594687,0.9,-0.030106774044179798,5.298248793302654e-4
0.9500000000000001,0.3068276283851654,0.95,-0.017833875066521093,5.586989589515671e-4
0.9500000000000001,0.11867071494869816,1,0.0031981823320880376,0.0027841834380564925
0.9600000000000001,1.9858252645823016,-1,-0.15784108362088187,8.520044348785604e-4
0.9600000000000001,1.7225260809101806,-0.5,-0.1348838070976912,7.663154555693188e-4
0.9600000000000001,1.4104408016691128,0,-0.10766141797897692,6.727180074223916e-4
0.9600000000000001,1.0043704086487675,0.5,-0.07221466454361201,5.711870660596776e-4
0.9600000000000001,0.4669425499102234,0.9,-0.025122067219122416,5.051198173173997e-4
0.9600000000000001,0.34311664934079955,0.95,-0.01413472580372645,5.191331361451782e-4
0.9600000000000001,0.12569192737668688,1,0.004612098246596218,0.0024955867629478288
0.97,2.3292264547164336,-1,-0.1340635114055076,7.609415781890429e-4
0.97,2.0198393679168456,-0.5,-0.1142759854116539,6.914230983653056e-4
0.97,1.653072727581649,0,-0.09081030553836898,6.167293815275486e-4
0.97,1.175662804229552,0.5,-0.06024885844609475,5.378519175855188e-4
0.97,0.5425571030288672,0.9,-0.019600728989616352,4.8643620617279805e-4
0.97,0.3956118100895778,0.95,-0.010077693112778566,4.918303563726726e-4
0.97,0.13446707379779632,1,0.007680244451699023,0.002116804580820062
0.98,2.8960811948395415,-1,-0.10629076546763558,6.628567219680746e-4
0.98,2.510688826479308,-0.5,-0.09020978160951325,6.123773470073374e-4
0.98,2.0536595844595453,0,-0.07113803380341928,5.596089725655125e-4
0.98,1.4585616415032936,0.5,-0.04629394100840813,5.063097521399751e-4
0.98,0.6677188386874197,0.9,-0.013212845246063438,4.735593674129286e-4
0.98,0.48290106392976617,0.95,-0.005431965159424865,4.753369844276752e-4
0.98,0.14718252482014252,1,0.010557240436584264,0.001529969007752379
0.99,4.1550633627241815,-1,-0.07065163979235993,5.566736590036029e-4
0.99,3.600826044013416,-0.5,-0.05933311223536299,5.297197450050167e-4
0.99,2.9435257815642286,0,-0.04590840533167651,5.030288374647614e-4
0.99,2.0873056429178813,0.5,-0.028416768261530986,4.783602435640314e-4
0.99,0.947002727647609,0.9,-0.005099538784528143,4.6644897071238504e-4
0.99,0.6786244324434831,0.95,4.0559646787018496e-4,4.6775699009432125e-4
0.99,0.166740631073683,1,0.011603934741179638,0.001095888637413583
1,175.1720992236821,-1,0.012888466356495716,4.710812107913937e-4
1,175.1720992236821,-0.5,0.013140829629713437,4.713104072860664e-4
1,175.1720992236821,0,0.013393193667189097,4.715427973665716e-4
1,175.1720992236821,0.5,0.01364555846893014,4.71778376347155e-4
1,175.1720992236821,0.9,0.013847450860598721,4.7196913235549655e-4
1,175.1720992236821,0.95,0.013872687443949856,4.719931200218536e-4
1,175.1720992236821,1,0.013897924034943662,4.720171394867022e-4
