CVaR,CVaR.se,p,q,b,Type
-0.046807327144422754,0.01374297555251768,0.29000000000000004,-0.0210997205037587,NA,CATE-CVaR
-0.04598410113832309,0.013416986488873689,0.3,-0.0191583657172826,NA,CATE-CVaR
-0.04503638135626882,0.013217741971563066,0.31,-0.0171890100192103,NA,CATE-CVaR
-0.044457342937079744,0.013011873917452949,0.32,-0.0152691725289197,NA,CATE-CVaR
-0.04432230779954736,0.0127515956752332,0.33,-0.0134024291183324,NA,CATE-CVaR
-0.043173035671321136,0.012553403910601196,0.34,-0.0114285235149053,NA,CATE-CVaR
-0.04222023995664441,0.012311615338896917,0.35000000000000003,-0.00939991008904572,NA,CATE-CVaR
-0.04167579307984945,0.012092168998238069,0.36000000000000004,-0.0076561998542904,NA,CATE-CVaR
-0.04120227361192004,0.011876649009245059,0.37,-0.00598166957039145,NA,CATE-CVaR
-0.041071718863944603,0.011681194202101952,0.38,-0.00411343286868992,NA,CATE-CVaR
-0.04102881743495846,0.011448381443388379,0.39,-0.00248770086440134,NA,CATE-CVaR
-0.040765977650469985,0.011238068892222956,0.4,-8.1413454074129e-4,NA,CATE-CVaR
-0.04041249184650792,0.011034759046072045,0.41000000000000003,0.00102889039940083,NA,CATE-CVaR
-0.040141349585407465,0.010891098099313812,0.42000000000000004,0.0027742220592667,NA,CATE-CVaR
-0.039964555306920294,0.01071094590862538,0.43,0.00446843332540436,NA,CATE-CVaR
-0.03976425030158393,0.01052238179201445,0.44,0.00608316167934368,NA,CATE-CVaR
-0.039501031155509195,0.010341955170208392,0.45,0.00774134364654245,NA,CATE-CVaR
-0.03915280838916628,0.01018400016554946,0.46,0.00946513887054475,NA,CATE-CVaR
-0.03877347370546863,0.010016315821580921,0.47000000000000003,0.0109087144790638,NA,CATE-CVaR
-0.038451004513857495,0.009856634440582893,0.48000000000000004,0.0126625765436932,NA,CATE-CVaR
-0.0381239143226023,0.00969874939864646,0.49,0.0143744875834856,NA,CATE-CVaR
-0.037843440970474165,0.009546581477411184,0.5,0.0161354952691527,NA,CATE-CVaR
-0.037576921011185795,0.009395528554653233,0.51,0.0175110195952148,NA,CATE-CVaR
-0.037028735455115355,0.00924904303038324,0.52,0.019266737689893,NA,CATE-CVaR
-0.03617281920757863,0.009101473710881765,0.53,0.0210108048037149,NA,CATE-CVaR
-0.035603260676757155,0.008955762553622165,0.54,0.0226587895938807,NA,CATE-CVaR
-0.03349013612122753,0.008809062624110133,0.55,0.0241609339480281,NA,CATE-CVaR
-0.030327493035254727,0.008661405495291735,0.56,0.0258900813288222,NA,CATE-CVaR
-0.028878611025271585,0.008522524594567803,0.5700000000000001,0.0274953101573246,NA,CATE-CVaR
-0.027784831680346143,0.008380089922294394,0.5800000000000001,0.0290331038537098,NA,CATE-CVaR
-0.02658706502305297,0.008230819491260642,0.59,0.0306304355471761,NA,CATE-CVaR
-0.0258862165670848,0.008086672845089168,0.6,0.0322538315748365,NA,CATE-CVaR
-0.02549134025982279,0.007930029109786274,0.61,0.033654220740701,NA,CATE-CVaR
-0.025163692954849264,0.007796934862416652,0.62,0.0352646520894464,NA,CATE-CVaR
-0.024785008759082926,0.007644623124518709,0.63,0.0369036861524285,NA,CATE-CVaR
-0.024518880570440896,0.007510256514098535,0.64,0.0385346183260235,NA,CATE-CVaR
-0.024315538359551622,0.007369121681564013,0.65,0.0399641434503182,NA,CATE-CVaR
-0.023700771283471915,0.0072316899482408326,0.66,0.0416882911899478,NA,CATE-CVaR
-0.023309839875419704,0.007099485451869543,0.67,0.0432628237117656,NA,CATE-CVaR
-0.022356401915415856,0.006964133346032321,0.68,0.0448734080904057,NA,CATE-CVaR
-0.022184109015981345,0.006800937682724352,0.6900000000000001,0.0466195495674837,NA,CATE-CVaR
-0.021984175679771657,0.006663022662403426,0.7000000000000001,0.0482153565313621,NA,CATE-CVaR
-0.021870462345719197,0.00655889133509338,0.7100000000000001,0.0500282929707532,NA,CATE-CVaR
-0.021687465662281146,0.006407690698134363,0.72,0.0517462769323315,NA,CATE-CVaR
-0.021379083748651585,0.0062953277039093855,0.73,0.0535356330519602,NA,CATE-CVaR
-0.020934240924894293,0.0061675778660793285,0.74,0.0555641162794511,NA,CATE-CVaR
-0.020520893460831018,0.006067728186841491,0.75,0.0572622331679653,NA,CATE-CVaR
-0.020105343350751474,0.005939693316891306,0.76,0.0593252275017543,NA,CATE-CVaR
-0.018759766571698804,0.005765662145217828,0.77,0.0613502806077543,NA,CATE-CVaR
-0.018642388166681075,0.005654943809280824,0.78,0.0630490827385418,NA,CATE-CVaR
-0.01799475439565787,0.005480397898738142,0.79,0.0650686766716521,NA,CATE-CVaR
-0.017765401109777652,0.005304650289673398,0.8,0.0671956621563697,NA,CATE-CVaR
-0.017457408205902886,0.00513858214771039,0.81,0.0693602874923737,NA,CATE-CVaR
-0.015121258449323393,0.004964378876847523,0.8200000000000001,0.071791437378169,NA,CATE-CVaR
-0.013921021175225205,0.004850588608866805,0.8300000000000001,0.0740266985061756,NA,CATE-CVaR
-0.0132445164519908,0.004704673060114101,0.8400000000000001,0.0763480621188753,NA,CATE-CVaR
-0.013064004608878708,0.004488115566456429,0.85,0.0785693978140113,NA,CATE-CVaR
-0.012736295193927709,0.004367983454893912,0.86,0.081040078581188,NA,CATE-CVaR
-0.01217540137430141,0.004198428708748783,0.87,0.0841376517814535,NA,CATE-CVaR
-0.011784523595711346,0.004097363399684848,0.88,0.0870105872296962,NA,CATE-CVaR
-0.011370071361657075,0.003972571464337383,0.89,0.0903416025066373,NA,CATE-CVaR
-0.011149828516755783,0.0037852734649327347,0.9,0.0936862109519653,NA,CATE-CVaR
-0.011009576990775063,0.0036214660801516013,0.91,0.097780753302068,NA,CATE-CVaR
-0.010802885138394482,0.0034354565483793046,0.92,0.102465705118299,NA,CATE-CVaR
-0.008807455120110446,0.003187754906974763,0.93,0.10789282682276,NA,CATE-CVaR
-0.007518852542275799,0.002997602208949933,0.9400000000000001,0.113259868860724,NA,CATE-CVaR
-0.006249253229493777,0.00273999937814333,0.9500000000000001,0.118666122455913,NA,CATE-CVaR
-0.005498218736653662,0.002448323522110407,0.9600000000000001,0.125691397993915,NA,CATE-CVaR
-0.0030624315292442647,0.0020556036639065574,0.97,0.134475275456406,NA,CATE-CVaR
-0.001257495496314839,0.0014540676969313387,0.98,0.147178486540326,NA,CATE-CVaR
-0.0011137941262581099,9.910797746857506e-4,0.99,0.166711078547926,NA,CATE-CVaR
0,0,1,0.245391542981891,NA,CATE-CVaR
-0.05649632815339508,0.09341270195997871,0.01,-0.173181008649417,0.05,Thm. 3.2
-0.038106606951195485,0.09272149889174881,0.01,-0.223181008649417,0.1,Thm. 3.2
-0.06515336561410649,0.09232055887029166,0.01,-0.273181008649417,0.15,Thm. 3.2
-0.09916765374545322,0.09221366811723215,0.01,-0.323181008649417,0.2,Thm. 3.2
-0.13721582867316987,0.09240184710961538,0.01,-0.373181008649417,0.25,Thm. 3.2
-0.05355959923038309,0.07883550102805506,0.02,-0.153714930390516,0.05,Thm. 3.2
-0.03795728337241161,0.0786472317787026,0.02,-0.203589102951661,0.1,Thm. 3.2
-0.06509583580269843,0.07841898107769418,0.02,-0.25358910295166104,0.15,Thm. 3.2
-0.09903844923771847,0.07835916433240835,0.02,-0.303589102951661,0.2,Thm. 3.2
-0.13708930031234906,0.07846816673837759,0.02,-0.353589102951661,0.25,Thm. 3.2
-0.04845411226748389,0.05952780184299596,0.03,-0.1391711333782194,0.05,Thm. 3.2
-0.037727450388044176,0.060179982994447656,0.03,-0.1890683384848242,0.1,Thm. 3.2
-0.06500656058486086,0.059992743305025915,0.03,-0.23906833848482423,0.15,Thm. 3.2
-0.0988979946199604,0.059947028605459154,0.03,-0.2890683384848242,0.2,Thm. 3.2
-0.13673058076890146,0.06004316215269668,0.03,-0.3390683384848242,0.25,Thm. 3.2
-0.042963431829602515,0.049768664525313394,0.04,-0.1294770018374461,0.05,Thm. 3.2
-0.03748252071255942,0.05059369416938448,0.04,-0.1790854536485112,0.1,Thm. 3.2
-0.06488442305647402,0.05048121654443783,0.04,-0.22908545364851124,0.15,Thm. 3.2
-0.09856271980335136,0.050494177298935496,0.04,-0.27908545364851123,0.2,Thm. 3.2
-0.13603971518563962,0.0506324801049182,0.04,-0.3290854536485112,0.25,Thm. 3.2
-0.04063552861859511,0.044217642478784576,0.05,-0.12100174294967199,0.05,Thm. 3.2
-0.037437250561936586,0.044117271044361875,0.05,-0.1702863691417594,0.1,Thm. 3.2
-0.06462332938025576,0.044021581183356646,0.05,-0.22028636914175942,0.15,Thm. 3.2
-0.09811371854552345,0.044034848201242587,0.05,-0.2702863691417594,0.2,Thm. 3.2
-0.13526765492285447,0.044156973889438386,0.05,-0.3202863691417594,0.25,Thm. 3.2
-0.038275000450519084,0.03976176656329174,0.060000000000000005,-0.113923271865136,0.05,Thm. 3.2
-0.03727589456567492,0.040318842226678156,0.060000000000000005,-0.16314336041427852,0.1,Thm. 3.2
-0.06432466529133571,0.040247825397217815,0.060000000000000005,-0.2131433604142785,0.15,Thm. 3.2
-0.09743373838775597,0.04027317434237118,0.060000000000000005,-0.2631433604142785,0.2,Thm. 3.2
-0.13412834821965172,0.040394707644913645,0.060000000000000005,-0.3131433604142785,0.25,Thm. 3.2
-0.03766506970695247,0.036363322105239314,0.06999999999999999,-0.1076342486066666,0.05,Thm. 3.2
-0.03710629387943983,0.03648106693287633,0.06999999999999999,-0.1566527754317791,0.1,Thm. 3.2
-0.06395249043183601,0.03639450160834736,0.06999999999999999,-0.20665277543177912,0.15,Thm. 3.2
-0.09664027886386008,0.03639675541443222,0.06999999999999999,-0.2566527754317791,0.2,Thm. 3.2
-0.1329425335260103,0.036487811892397866,0.06999999999999999,-0.3066527754317791,0.25,Thm. 3.2
-0.03702429944631068,0.03453377310415903,0.08,-0.102335536114338,0.05,Thm. 3.2
-0.036914720389392745,0.034827038416227696,0.08,-0.1508437526199343,0.1,Thm. 3.2
-0.06349055885824165,0.03476864864669051,0.08,-0.2008437526199343,0.15,Thm. 3.2
-0.0957184097884859,0.03478902638591524,0.08,-0.2508437526199343,0.2,Thm. 3.2
-0.13169423703711333,0.03488803361231581,0.08,-0.3008437526199343,0.25,Thm. 3.2
-0.03538724337696378,0.032759719341619024,0.09,-0.09737067502794461,0.05,Thm. 3.2
-0.03665992406839671,0.03367612098018436,0.09,-0.1454505850968017,0.1,Thm. 3.2
-0.06301179845711355,0.03363073025229384,0.09,-0.19545058509680172,0.15,Thm. 3.2
-0.09471330292830177,0.03365511343293706,0.09,-0.2454505850968017,0.2,Thm. 3.2
-0.1296766983464146,0.033749119290967244,0.09,-0.2954505850968017,0.25,Thm. 3.2
-0.034866660295680835,0.03217635034843682,0.09999999999999999,-0.09251161761380601,0.05,Thm. 3.2
-0.0363615906935626,0.033041078814101094,0.09999999999999999,-0.14020013314913282,0.1,Thm. 3.2
-0.06252027734743024,0.03300329575971758,0.09999999999999999,-0.1902001331491328,0.15,Thm. 3.2
-0.09362758013806415,0.033026902281689856,0.09999999999999999,-0.2402001331491328,0.2,Thm. 3.2
-0.12772166197312082,0.033111767080032654,0.09999999999999999,-0.2902001331491328,0.25,Thm. 3.2
-0.0334975697829994,0.030767396634683107,0.11,-0.0882797640041782,0.05,Thm. 3.2
-0.03602210116846894,0.031997321715871545,0.11,-0.1358838193868532,0.1,Thm. 3.2
-0.06200628870158303,0.03197703544006241,0.11,-0.18588381938685322,0.15,Thm. 3.2
-0.09245815495867306,0.03201310670119272,0.11,-0.2358838193868532,0.2,Thm. 3.2
-0.12553481034953023,0.03210534554197813,0.11,-0.2858838193868532,0.25,Thm. 3.2
-0.03243262309447685,0.029607721657163535,0.12,-0.0844405256149422,0.05,Thm. 3.2
-0.035680379357252025,0.030508463415963055,0.12,-0.13172918224770042,0.1,Thm. 3.2
-0.06133949517121764,0.030489019959932157,0.12,-0.18172824044325614,0.15,Thm. 3.2
-0.0912136496788987,0.030521749417331493,0.12,-0.23172824044325613,0.2,Thm. 3.2
-0.12362940382015272,0.030606769918100234,0.12,-0.2817282404432561,0.25,Thm. 3.2
-0.03177218788492539,0.02847907673907034,0.13,-0.08072631689024361,0.05,Thm. 3.2
-0.035405774838958654,0.02883480974590556,0.13,-0.12738270802303012,0.1,Thm. 3.2
-0.06057558376758573,0.028807131828174154,0.13,-0.17737676971252703,0.15,Thm. 3.2
-0.08989268940383315,0.028828893100036952,0.13,-0.22737676971252702,0.2,Thm. 3.2
-0.12105624121904672,0.028900034361320184,0.13,-0.277376769712527,0.25,Thm. 3.2
-0.03143539769405817,0.026842958426681267,0.14,-0.0768761187313435,0.05,Thm. 3.2
-0.03530048662310365,0.027657739576129176,0.14,-0.1232437775196105,0.1,Thm. 3.2
-0.059730063536239164,0.027630104740332454,0.14,-0.17322347054801202,0.15,Thm. 3.2
-0.08841351376315132,0.027649124537583402,0.14,-0.223223470548012,0.2,Thm. 3.2
-0.11865139403565167,0.02771490882652756,0.14,-0.273223470548012,0.25,Thm. 3.2
-0.03130292470819807,0.02579420300701102,0.15000000000000002,-0.073189625096665,0.05,Thm. 3.2
-0.03494406397583643,0.02655345480069823,0.15000000000000002,-0.11918578538307141,0.1,Thm. 3.2
-0.05878610725226882,0.026517874064153305,0.15000000000000002,-0.16916839832582012,0.15,Thm. 3.2
-0.08691374042389696,0.026526525471619607,0.15000000000000002,-0.2191683983258201,0.2,Thm. 3.2
-0.11620933007005155,0.026579467930090663,0.15000000000000002,-0.2691683983258201,0.25,Thm. 3.2
-0.031196948234048342,0.024776757408234946,0.16,-0.0697366879465526,0.05,Thm. 3.2
-0.0345747426172854,0.02597264931305287,0.16,-0.11529305587271431,0.1,Thm. 3.2
-0.05786782561609473,0.025940958275857115,0.16,-0.165282375623432,0.15,Thm. 3.2
-0.08523626350200217,0.025950516828142034,0.16,-0.215282375623432,0.2,Thm. 3.2
-0.11371499082175263,0.02600141795206848,0.16,-0.265282375623432,0.25,Thm. 3.2
-0.031107043369248057,0.024313724541444443,0.17,-0.0664259188445,0.05,Thm. 3.2
-0.03418986838711784,0.025154440257484353,0.17,-0.1114417688990504,0.1,Thm. 3.2
-0.0569001362260529,0.02512368180667069,0.17,-0.16143015929966953,0.15,Thm. 3.2
