CVaR,CVaR.se,p,q,rho,type,Type,Correlation
-0.6017055966350486,0.006407690698134363,0.72,0.0517462769323315,NA,Eq. (9) bound,Eq. (9),NA
-0.593608841526971,0.0062953277039093855,0.73,0.0535356330519602,NA,Eq. (9) bound,Eq. (9),NA
-0.5863319046551502,0.0061675778660793285,0.74,0.0555641162794511,NA,Eq. (9) bound,Eq. (9),NA
-0.5789110113103297,0.006067728186841491,0.75,0.0572622331679653,NA,Eq. (9) bound,Eq. (9),NA
-0.5703833958196198,0.005939693316891306,0.76,0.0593252275017543,NA,Eq. (9) bound,Eq. (9),NA
-0.5608049941938631,0.005765662145217828,0.77,0.0613502806077543,NA,Eq. (9) bound,Eq. (9),NA
-0.5538784965838524,0.005654943809280824,0.78,0.0630490827385418,NA,Eq. (9) bound,Eq. (9),NA
-0.5459737033434029,0.005480397898738142,0.79,0.0650686766716521,NA,Eq. (9) bound,Eq. (9),NA
-0.539864155410024,0.005304650289673398,0.8,0.0671956621563697,NA,Eq. (9) bound,Eq. (9),NA
-0.5327618669934168,0.00513858214771039,0.81,0.0693602874923737,NA,Eq. (9) bound,Eq. (9),NA
-0.524142605428626,0.004964378876847523,0.8200000000000001,0.071791437378169,NA,Eq. (9) bound,Eq. (9),NA
-0.5168103097769873,0.004850588608866805,0.8300000000000001,0.0740266985061756,NA,Eq. (9) bound,Eq. (9),NA
-0.5091982291029613,0.004704673060114101,0.8400000000000001,0.0763480621188753,NA,Eq. (9) bound,Eq. (9),NA
-0.5025670400731805,0.004488115566456429,0.85,0.0785693978140113,NA,Eq. (9) bound,Eq. (9),NA
-0.4962636860259444,0.004367983454893912,0.86,0.081040078581188,NA,Eq. (9) bound,Eq. (9),NA
-0.49104610443528307,0.004198428708748783,0.87,0.0841376517814535,NA,Eq. (9) bound,Eq. (9),NA
-0.4875509550918867,0.004097363399684848,0.88,0.0870105872296962,NA,Eq. (9) bound,Eq. (9),NA
-0.4822051463265109,0.003972571464337383,0.89,0.0903416025066373,NA,Eq. (9) bound,Eq. (9),NA
-0.4765464892115776,0.0037852734649327347,0.9,0.0936862109519653,NA,Eq. (9) bound,Eq. (9),NA
-0.4698812568498274,0.0036214660801516013,0.91,0.097780753302068,NA,Eq. (9) bound,Eq. (9),NA
-0.464495483312272,0.0034354565483793046,0.92,0.102465705118299,NA,Eq. (9) bound,Eq. (9),NA
-0.45762213812837305,0.003187754906974763,0.93,0.10789282682276,NA,Eq. (9) bound,Eq. (9),NA
-0.4515591814475942,0.002997602208949933,0.9400000000000001,0.113259868860724,NA,Eq. (9) bound,Eq. (9),NA
-0.4456155323689231,0.00273999937814333,0.9500000000000001,0.118666122455913,NA,Eq. (9) bound,Eq. (9),NA
-0.44028763058686804,0.002448323522110407,0.9600000000000001,0.125691397993915,NA,Eq. (9) bound,Eq. (9),NA
-0.43336916467601655,0.0020556036639065574,0.97,0.134475275456406,NA,Eq. (9) bound,Eq. (9),NA
-0.4271728661262154,0.0014540676969313387,0.98,0.147178486540326,NA,Eq. (9) bound,Eq. (9),NA
-0.42272636142934406,9.910797746857506e-4,0.99,0.166711078547926,NA,Eq. (9) bound,Eq. (9),NA
-0.4173956758453684,0,1,0.245391542981891,NA,Eq. (9) bound,Eq. (9),NA
-0.6174424841178687,0.006663022662403426,0.7000000000000001,0.0482153565313621,NA,Eq. (10) bound,Eq. (10),NA
-0.6103297199942128,0.00655889133509338,0.7100000000000001,0.0500282929707532,NA,Eq. (10) bound,Eq. (10),NA
-0.602867909947415,0.006407690698134363,0.72,0.0517462769323315,NA,Eq. (10) bound,Eq. (10),NA
-0.5947552349603451,0.0062953277039093855,0.73,0.0535356330519602,NA,Eq. (10) bound,Eq. (10),NA
-0.5874628075220552,0.0061675778660793285,0.74,0.0555641162794511,NA,Eq. (10) bound,Eq. (10),NA
-0.5800268358233331,0.006067728186841491,0.75,0.0572622331679653,NA,Eq. (10) bound,Eq. (10),NA
-0.5714845379857738,0.005939693316891306,0.76,0.0593252275017543,NA,Eq. (10) bound,Eq. (10),NA
-0.561891834651535,0.005765662145217828,0.77,0.0613502806077543,NA,Eq. (10) bound,Eq. (10),NA
-0.5549514013863306,0.005654943809280824,0.78,0.0630490827385418,NA,Eq. (10) bound,Eq. (10),NA
-0.547033024693283,0.005480397898738142,0.79,0.0650686766716521,NA,Eq. (10) bound,Eq. (10),NA
-0.5409102323480315,0.005304650289673398,0.8,0.0671956621563697,NA,Eq. (10) bound,Eq. (10),NA
-0.5337950310848232,0.00513858214771039,0.81,0.0693602874923737,NA,Eq. (10) bound,Eq. (10),NA
-0.5251631721411589,0.004964378876847523,0.8200000000000001,0.071791437378169,NA,Eq. (10) bound,Eq. (10),NA
-0.5178185819665173,0.004850588608866805,0.8300000000000001,0.0740266985061756,NA,Eq. (10) bound,Eq. (10),NA
-0.510194498856062,0.004704673060114101,0.8400000000000001,0.0763480621188753,NA,Eq. (10) bound,Eq. (10),NA
-0.5035515892107028,0.004488115566456429,0.85,0.0785693978140113,NA,Eq. (10) bound,Eq. (10),NA
-0.4972367865775543,0.004367983454893912,0.86,0.081040078581188,NA,Eq. (10) bound,Eq. (10),NA
-0.4920080190869509,0.004198428708748783,0.87,0.0841376517814535,NA,Eq. (10) bound,Eq. (10),NA
-0.4885019376081472,0.004097363399684848,0.88,0.0870105872296962,NA,Eq. (10) bound,Eq. (10),NA
-0.48314544194918235,0.003972571464337383,0.89,0.0903416025066373,NA,Eq. (10) bound,Eq. (10),NA
-0.4774763350364938,0.0037852734649327347,0.9,0.0936862109519653,NA,Eq. (10) bound,Eq. (10),NA
-0.4708008861813985,0.0036214660801516013,0.91,0.097780753302068,NA,Eq. (10) bound,Eq. (10),NA
-0.46540511817565555,0.0034354565483793046,0.92,0.102465705118299,NA,Eq. (10) bound,Eq. (10),NA
-0.4585219929739359,0.003187754906974763,0.93,0.10789282682276,NA,Eq. (10) bound,Eq. (10),NA
-0.45244946391097657,0.002997602208949933,0.9400000000000001,0.113259868860724,NA,Eq. (10) bound,Eq. (10),NA
-0.44649644355616536,0.00273999937814333,0.9500000000000001,0.118666122455913,NA,Eq. (10) bound,Eq. (10),NA
-0.4411593653448096,0.002448323522110407,0.9600000000000001,0.125691397993915,NA,Eq. (10) bound,Eq. (10),NA
-0.43423191184886994,0.0020556036639065574,0.97,0.134475275456406,NA,Eq. (10) bound,Eq. (10),NA
-0.42802680879915145,0.0014540676969313387,0.98,0.147178486540326,NA,Eq. (10) bound,Eq. (10),NA
-0.42357167715987,9.910797746857506e-4,0.99,0.166711078547926,NA,Eq. (10) bound,Eq. (10),NA
-0.4182325368832225,0,1,0.245391542981891,NA,Eq. (10) bound,Eq. (10),NA
