p,q,b,CVaR,CVaR.se
0.06999999999999999,-0.0839897716485562,0,-0.07951902285131732,0.027275922351381657
0.06999999999999999,-0.1076342486066666,0.05,-0.047361941158158595,0.036363322105239314
0.06999999999999999,-0.1566527754317791,0.1,-0.006400683796849346,0.03648106693287633
0.06999999999999999,-0.20665277543177912,0.15000000000000002,0.043640949280450946,0.03639450160834736
0.06999999999999999,-0.2566527754317791,0.2,0.09368258235775118,0.03639675541443222
0.06999999999999999,-0.3066527754317791,0.25,0.14372421543505143,0.036487811892397866
0.08,-0.0790581636306294,0,-0.0780277893723004,0.02584052390034438
0.08,-0.102335536114338,0.05,-0.05661762852532203,0.03453377310415903
0.08,-0.1508437526199343,0.1,-0.001334239950718752,0.034827038416227696
0.08,-0.2008437526199343,0.15000000000000002,0.04866024278130957,0.03476864864669051
0.08,-0.2508437526199343,0.2,0.09865472551333786,0.03478902638591524
0.08,-0.3008437526199343,0.25,0.14864920824536618,0.03488803361231581
0.09,-0.0743906068022217,0,-0.08449404945958068,0.024246989169277377
0.09,-0.09737067502794461,0.05,-0.052434857079564835,0.032759719341619024
0.09,-0.1454505850968017,0.1,0.012692872127071295,0.03367612098018436
0.09,-0.19545058509680172,0.15000000000000002,0.06274523778696393,0.03363073025229384
0.09,-0.2454505850968017,0.2,0.11279760344685648,0.03365511343293706
0.09,-0.2954505850968017,0.25,0.1628499691067491,0.033749119290967244
0.09999999999999999,-0.0702656979410522,0,-0.08601692625731802,0.02264619788557922
0.09999999999999999,-0.09251161761380601,0.05,-0.023070253177925777,0.03217635034843682
0.09999999999999999,-0.14020013314913282,0.1,0.040414301245706295,0.033041078814101094
0.09999999999999999,-0.1902001331491328,0.15000000000000002,0.09044838986889973,0.03300329575971758
0.09999999999999999,-0.2402001331491328,0.2,0.14048247849209317,0.033026902281689856
0.09999999999999999,-0.2902001331491328,0.25,0.1905165671152866,0.033111767080032654
0.11,-0.0665376673147263,0,-0.08573370461456227,0.021716725526845934
0.11,-0.0882797640041782,0.05,-0.007119591265511832,0.030767396634683107
0.11,-0.1358838193868532,0.1,0.05256131264358236,0.031997321715871545
0.11,-0.18588381938685322,0.15000000000000002,0.10255746224552297,0.03197703544006241
0.11,-0.2358838193868532,0.2,0.15255361184746352,0.03201310670119272
0.11,-0.2858838193868532,0.25,0.2025497614494041,0.03210534554197813
0.12,-0.0631406628603895,0,-0.07500312297712737,0.020718319929467755
0.12,-0.0844405256149422,0.05,-0.004722601988733576,0.029607721657163535
0.12,-0.13172918224770042,0.1,0.0550459176135536,0.030508463415963055
0.12,-0.18172824044325614,0.15000000000000002,0.10489319776765474,0.030489019959932157
0.12,-0.23172824044325613,0.2,0.15489070625805704,0.030521749417331493
0.12,-0.2817282404432561,0.25,0.20488821474845934,0.030606769918100234
0.13,-0.0599636870275124,0,-0.08277205009450497,0.01984777047407543
0.13,-0.08072631689024361,0.05,0.0012998136182243141,0.02847907673907034
0.13,-0.12738270802303012,0.1,0.04646222906149231,0.02883480974590556
0.13,-0.17737676971252703,0.15000000000000002,0.09651324762484814,0.028807131828174154
0.13,-0.22737676971252702,0.2,0.14650820275803036,0.028828893100036952
0.13,-0.277376769712527,0.25,0.1965031578912126,0.028900034361320184
0.14,-0.0566527754317791,0,-0.08767329776821355,0.018884466507346154
0.14,-0.0768761187313435,0.05,-0.006511992332945173,0.026842958426681267
0.14,-0.1232437775196105,0.1,0.03802058924964432,0.027657739576129176
0.14,-0.17322347054801202,0.15000000000000002,0.08795649643959835,0.027630104740332454
0.14,-0.223223470548012,0.2,0.13795119570896944,0.027649124537583402
0.14,-0.273223470548012,0.25,0.18794589497834047,0.02771490882652756
0.15000000000000002,-0.0538785006857505,0,-0.08601694386033673,0.018421036057560965
0.15000000000000002,-0.073189625096665,0.05,-0.01723696605903882,0.02579420300701102
0.15000000000000002,-0.11918578538307141,0.1,0.023408666843895677,0.02655345480069823
0.15000000000000002,-0.16916839832582012,0.15000000000000002,0.0734974165584095,0.026517874064153305
0.15000000000000002,-0.2191683983258201,0.2,0.12349420022620192,0.026526525471619607
0.15000000000000002,-0.2691683983258201,0.25,0.1734909838939943,0.026579467930090663
0.16,-0.0508357060737593,0,-0.08213723561110088,0.017957960432374204
0.16,-0.0697366879465526,0.05,-0.02681731511609421,0.024776757408234946
0.16,-0.11529305587271431,0.1,0.027090994631236622,0.02597264931305287
0.16,-0.165282375623432,0.15000000000000002,0.0772490327219417,0.025940958275857115
0.16,-0.215282375623432,0.2,0.12724715480243867,0.025950516828142034
0.16,-0.265282375623432,0.25,0.17724527688293562,0.02600141795206848
0.17,-0.0482148083515651,0,-0.08031459343841361,0.017639489818841284
0.17,-0.0664259188445,0.05,-0.02170821208000462,0.024313724541444443
0.17,-0.1114417688990504,0.1,0.03839516067186506,0.025154440257484353
0.17,-0.16143015929966953,0.15000000000000002,0.08848631776150251,0.02512368180667069
0.17,-0.21143015929966952,0.2,0.13848557362302508,0.025131791407285074
0.17,-0.2614301592996695,0.25,0.18848482948454764,0.025178994433115116
0.18000000000000002,-0.0454505850968017,0,-0.07253615722135687,0.017262132759947566
0.18000000000000002,-0.06333361009244261,0.05,-0.025909257696197247,0.02325792532502444
0.18000000000000002,-0.10766848264449473,0.1,0.039147238915872455,0.024263737449488287
0.18000000000000002,-0.15765664235273924,0.15000000000000002,0.08937486414050216,0.02423345622251437
0.18000000000000002,-0.20765664235273923,0.2,0.1393741286587725,0.024240252547767654
0.18000000000000002,-0.2576566423527392,0.25,0.18937339317704283,0.024284227476724554
0.19,-0.0428421492424163,0,-0.06227295315561123,0.017179334982043732
0.19,-0.059973440761228375,0.05,-0.01590213480407505,0.022624481597943207
0.19,-0.10415234137186015,0.1,0.04120388589251266,0.02352691394671059
0.19,-0.1541195244064427,0.15000000000000002,0.09095778243678442,0.023496931694643397
0.19,-0.20411952440644268,0.2,0.1409520575749934,0.023500033207025785
0.19,-0.2541195244064427,0.25,0.19094633271320247,0.02353842168487145
0.2,-0.0402001331491328,0,-0.0560319396515058,0.016775888676279355
0.2,-0.05692234539174011,0.05,-0.01864733686572496,0.02182043013219451
0.2,-0.1008461220775188,0.1,0.028198015363361504,0.022523422611486873
0.2,-0.1508198584195821,0.15000000000000002,0.07802159877734104,0.022486050034441724
0.2,-0.20081985841958208,0.2,0.12802073801030464,0.022482481764303473
0.2,-0.25081985841958204,0.25,0.17801987724326826,0.022513167696174043
0.21000000000000002,-0.0380874806292548,0,-0.051826526901707914,0.01634408853346508
0.21000000000000002,-0.053982239956976784,0.05,-0.015869818325435762,0.0211632171983281
0.21000000000000002,-0.09726192045003716,0.1,0.037808556153611575,0.02200846602779122
0.21000000000000002,-0.14722612234482135,0.15000000000000002,0.08789915652017125,0.021974707594516103
0.21000000000000002,-0.19722612234482134,0.2,0.13789441294340157,0.02197291319222354
0.21000000000000002,-0.24722612234482133,0.25,0.18788966936663193,0.022003295531455334
0.22,-0.0358827021197662,0,-0.04772886690647798,0.016138877454045356
0.22,-0.05123058852042919,0.05,-0.02307954273038654,0.020329474719814132
0.22,-0.09396440301652892,0.1,0.02928076234597709,0.021255316495943033
0.22,-0.14391771202697135,0.15000000000000002,0.0795246457006698,0.021219461988758025
0.22,-0.19391771202697133,0.2,0.12952051664151606,0.021214103916377156
0.22,-0.24391771202697132,0.25,0.17951638758236227,0.021239626966975025
0.23,-0.0336945927209756,0,-0.046863461172379495,0.01567005850528565
0.23,-0.04824083745300542,0.05,-0.02510306951224949,0.01974788470866502
0.23,-0.09057753772426498,0.1,0.03019041612577007,0.020633197713392035
0.23,-0.14053486112945526,0.15000000000000002,0.07905361655067335,0.020603542150404757
0.23,-0.19053486112945525,0.2,0.12906943214748406,0.02059640693914296
0.23,-0.24053486112945524,0.25,0.1790852477442948,0.020618685997158902
0.24000000000000002,-0.0317258305957437,0,-0.04449172599485828,0.015374005077062667
0.24000000000000002,-0.04548938099338047,0.05,-0.016834928172748134,0.01926220542993705
0.24000000000000002,-0.087403959798099,0.1,0.019032159240262865,0.01998639523764071
0.24000000000000002,-0.13733787208572762,0.15000000000000002,0.06913076395782783,0.019947506820976815
0.24000000000000002,-0.1873378720857276,0.2,0.11912729348189169,0.019935646513280867
0.24000000000000002,-0.2373378720857276,0.25,0.16912382300595555,0.019952152975387952
0.25,-0.0295135119675147,0,-0.044299641873190555,0.015004471065426295
0.25,-0.042895457798160785,0.05,-0.027584528111158017,0.018561142737343626
0.25,-0.0839181835303622,0.1,0.013754658698805851,0.019322227049780417
0.25,-0.13386543845081672,0.15000000000000002,0.06401946344157151,0.01928290419966136
0.25,-0.1838654384508167,0.2,0.11401615735023693,0.01926983444986777
0.25,-0.2338654384508167,0.25,0.1640128512589024,0.01928388668530599
0.26,-0.0273525482908853,0,-0.04650922544363114,0.014583096776876173
0.26,-0.040242740451695874,0.05,-0.026536916616881356,0.018062128162628917
0.26,-0.08084848335152671,0.1,0.015058708351367264,0.01885496281660707
0.26,-0.1307437695527136,0.15000000000000002,0.06371405776028399,0.018824272353868632
0.26,-0.1807437695527136,0.2,0.11371301126232766,0.01881112116023669
0.26,-0.23074376955271358,0.25,0.16371196476437133,0.018823847934414308
0.27,-0.0253098139039792,0,-0.04766235631695597,0.014236911418331203
0.27,-0.0377223189363869,0.05,-0.031500649342470134,0.01754321323500818
0.27,-0.0775175116415681,0.1,0.01491265342907954,0.018415259815210822
0.27,-0.12735054767723814,0.15000000000000002,0.06450602881747067,0.01838017718801217
0.27,-0.17735054767723812,0.2,0.11450193964242524,0.018366566475395623
0.27,-0.2273505476772381,0.25,0.1644978504673798,0.018377601220684294
0.28,-0.0232218430110766,0,-0.04871199129595839,0.013976378111179244
0.28,-0.0352401814546351,0.05,-0.038445504360628366,0.01696586971107568
0.28,-0.0742862282798058,0.1,0.023274159989489843,0.01800725190932713
0.28,-0.12411274565490601,0.15000000000000002,0.07335347270378491,0.017984928927428544
0.28,-0.174112745654906,0.2,0.12335132080522372,0.017972595631968243
0.28,-0.224112745654906,0.25,0.17334916890666258,0.017983772209640352
0.29000000000000004,-0.0210997205037587,0,-0.05071665288676331,0.013742975552517678
0.29000000000000004,-0.032822336426327405,0.05,-0.03782549014204913,0.01656402606272931
0.29000000000000004,-0.0713336132727748,0.1,0.027384161034676353,0.017528467059374733
0.29000000000000004,-0.12097677993834582,0.15000000000000002,0.07626118148192318,0.017515307560141764
0.29000000000000004,-0.1709767799383458,0.2,0.12625897938149305,0.01750120499509287
0.29000000000000004,-0.2209767799383458,0.25,0.1762567772810629,0.017509557880985033
0.3,-0.0191583657172826,0,-0.05391302371569549,0.013416986488873689
0.3,-0.030240901696078404,0.05,-0.03691401039718172,0.0160881903440124
0.3,-0.06809830661637412,0.1,0.02897359113350716,0.017155812959461066
0.3,-0.11774616842516353,0.15000000000000002,0.07736755834867061,0.017131378962594403
0.3,-0.16774616842516352,0.2,0.12737468009425437,0.017117460961905598
0.3,-0.2177461684251635,0.25,0.17738180183983815,0.01712491180335637
0.31,-0.0171890100192103,0,-0.0531450264071039,0.013217741971563064
0.31,-0.027790904881468,0.05,-0.03467206176250045,0.01573475958940017
0.31,-0.065142494616041,0.1,0.02498846095421723,0.016753196781528083
0.31,-0.11473781897160962,0.15000000000000002,0.0753375651255048,0.0167284471977371
0.31,-0.1647378189716096,0.2,0.12533437040644077,0.01671328012430084
0.31,-0.2147378189716096,0.25,0.17533117568737677,0.016718451260632698
0.32,-0.0152691725289197,0,-0.050095792580361016,0.013011873917452949
0.32,-0.0255089335182368,0.05,-0.03506066036092458,0.015317388638905199
0.32,-0.061947165346223604,0.1,0.026447000375501194,0.01634317478111892
0.32,-0.11146538167397652,0.15000000000000002,0.0748043014300097,0.016325598773054777
0.32,-0.1614653816739765,0.2,0.12480486385231217,0.01630998958724633
0.32,-0.2114653816739765,0.25,0.17480542627461465,0.01631373948108885
0.33,-0.0134024291183324,0,-0.0481904313142561,0.0127515956752332
0.33,-0.023119007132307093,0.05,-0.026625616904064047,0.014944193233059488
0.33,-0.058860570845474004,0.1,0.019938850372220897,0.01589327107322531
0.33,-0.10831207483917552,0.15000000000000002,0.0730801661539943,0.015907013715608043
0.33,-0.1583120748391755,0.2,0.12308009282934065,0.015889684649300462
0.33,-0.2083120748391755,0.25,0.173080019504687,0.01589089578477886
0.34,-0.0114285235149053,0,-0.0425455556434136,0.012553403910601196
0.34,-0.020741025795010692,0.05,-0.02683466342184044,0.014576870515941656
0.34,-0.05582240248899901,0.1,0.024109977896284326,0.01550593621223568
0.34,-0.10512679569260562,0.15000000000000002,0.07367426771175031,0.015483585990787786
0.34,-0.15512679569260562,0.2,0.12367188584235768,0.01546545899753525
0.34,-0.2051267956926056,0.25,0.173669503972965,0.015465051919476756
0.35000000000000003,-0.00939991008904572,0,-0.04141906292863241,0.012311615338896917
0.35000000000000003,-0.018525239226955502,0.05,-0.020579679635634732,0.01427376410068805
0.35000000000000003,-0.052565598647567505,0.1,0.021683361126847,0.015109245254170539
0.35000000000000003,-0.10178651251733642,0.15000000000000002,0.07406476081175421,0.015117540903063872
0.35000000000000003,-0.1517865125173364,0.2,0.12406382857989838,0.015098531999318068
0.35000000000000003,-0.2017865125173364,0.25,0.17406289634804253,0.015096324326600548
0.36000000000000004,-0.0076561998542904,0,-0.0402310202356908,0.012092168998238072
0.36000000000000004,-0.016405875462860597,0.05,-0.023932094433431562,0.013900393092081341
0.36000000000000004,-0.04926299212996821,0.1,0.016691842820471803,0.014672631929601962
0.36000000000000004,-0.09826029356215901,0.15000000000000002,0.06645650319383636,0.014695112665544074
0.36000000000000004,-0.148260293562159,0.2,0.11645510394711396,0.014675669728344859
0.36000000000000004,-0.198260293562159,0.25,0.1664537047003916,0.014672281373872947
0.37,-0.00598166957039145,0,-0.03963298671482617,0.011876649009245059
0.37,-0.014152165692658904,0.05,-0.026920839553625533,0.013544377846741385
0.37,-0.045948291345686704,0.1,0.012896667377456017,0.014255377843397999
0.37,-0.09444433383460232,0.15000000000000002,0.06217594073662148,0.014273179364487918
0.37,-0.1444443338346023,0.2,0.11217477671895922,0.014253389478415859
0.37,-0.1944443338346023,0.25,0.16217361270129696,0.014248834625136077
0.38,-0.00411343286868992,0,-0.037649772685470435,0.01168119420210195
0.38,-0.0120377006218872,0.05,-0.023570238130678132,0.013220548883163553
0.38,-0.042470074333521804,0.1,0.009193289577592259,0.013847895071660482
0.38,-0.09067556890346101,0.15000000000000002,0.060445249758636195,0.013857080461390031
0.38,-0.140675568903461,0.2,0.1104439180699669,0.013837145349624663
0.38,-0.190675568903461,0.25,0.1604425863812976,0.013831668137062231
0.39,-0.00248770086440134,0,-0.04143779447793497,0.01144838144338838
0.39,-0.010012745687173696,0.05,-0.02604741236820248,0.01287857459116807
0.39,-0.038800925269588706,0.1,0.012814797276079043,0.013487333102246408
0.39,-0.08696355464383812,0.15000000000000002,0.06166127353576175,0.013493831740889669
0.39,-0.1369635546438381,0.2,0.11165872726923327,0.013473915484759123
0.39,-0.1869635546438381,0.25,0.16165618100270476,0.013467665515141414
0.4,-8.1413454074129e-4,0,-0.04249009694852099,0.011238068892222956
0.4,-0.007680508330534505,0.05,-0.027670317949461693,0.012539923347671
0.4,-0.03536152815755801,0.1,0.012148156608047843,0.013121051333781771
0.4,-0.08280882923255073,0.15000000000000002,0.05879025569930411,0.01316360942913385
0.4,-0.13280578087438383,0.2,0.10882278806346886,0.013143332907681202
0.4,-0.18280578087438382,0.25,0.15882058180265693,0.01313593972321051
0.41000000000000003,0.00102889039940083,0,-0.045019499625558575,0.011034759046072045
0.41000000000000003,-0.005684352677963404,0.05,-0.02414375322389874,0.012222616750134899
0.41000000000000003,-0.0317311865356716,0.1,0.007767948901509076,0.01277682761350576
0.41000000000000003,-0.07821255698074123,0.15000000000000002,0.060235186365736985,0.012816750539378962
0.41000000000000003,-0.1282118478123816,0.2,0.11017605312501862,0.01279589970809793
0.41000000000000003,-0.17821184781238159,0.25,0.16017320352844328,0.01278714610216621
0.42000000000000004,0.0027742220592667,0,-0.035945785842288885,0.01089109809931381
0.42000000000000004,-0.0035628983350181956,0.05,-0.023668639957200224,0.011912959994889023
0.42000000000000004,-0.02757016974701261,0.1,0.009260765920315316,0.012411627632122986
0.42000000000000004,-0.07368869516081612,0.15000000000000002,0.06148502491796268,0.0124316920355953
0.42000000000000004,-0.12365719932289741,0.2,0.11129392522049834,0.012410071004110932
0.42000000000000004,-0.17365719932289742,0.25,0.161292490791819,0.012399591018973805
0.43,0.00446843332540436,0,-0.03536934577623561,0.010710945908625378
0.43,-0.0013872342163363041,0.05,-0.024630649190492775,0.01159116410970761
0.43,-0.023573832896702104,0.1,0.012269112942437354,0.012039553251178723
0.43,-0.06898030776468572,0.15000000000000002,0.05932665399226062,0.012074830339456517
0.43,-0.1189720996333268,0.2,0.10936947453567548,0.012052415685290861
0.43,-0.1689720996333268,0.25,0.15936677329823573,0.01204065025930825
0.44,0.00608316167934368,0,-0.038288532890948544,0.010522381792014448
0.44,7.842228117177982e-4,0.05,-0.028611046876525943,0.011272185090860495
0.44,-0.019789113985258303,0.1,0.010293204232219508,0.011678042917581732
0.44,-0.06303130369880872,0.15000000000000002,0.04863770336754677,0.011698742024825208
0.44,-0.11300791212383152,0.2,0.09865130611847826,0.011675947970660464
0.44,-0.1630079121238315,0.25,0.14865052691704825,0.011663036299028276
0.45,0.00774134364654245,0,-0.03990824429396106,0.010341955170208392
0.45,0.0028601309554352056,0.05,-0.031324178071873016,0.01096621944701812
0.45,-0.015090772800904997,0.1,0.0025463791623641843,0.011308714158106503
0.45,-0.056363551360062325,0.15000000000000002,0.04296321786473689,0.011334380127443653
0.45,-0.1063215653239357,0.2,0.0929675558183294,0.011310918818637722
0.45,-0.1563215653239357,0.25,0.142966101568477,0.011296540511024933
0.46,0.00946513887054475,0,-0.03686928076120613,0.01018400016554946
0.46,0.005144386730033999,0.05,-0.03128821637360746,0.010667509854162923
0.46,-0.010408990673661994,0.1,-0.005153161117772708,0.010937605164136645
0.46,-0.047583879836978024,0.15000000000000002,0.037976857793073186,0.010975544226357133
0.46,-0.09753906456638801,0.2,0.08807483319222836,0.010950799659432752
0.46,-0.147539064566388,0.25,0.13807254212850822,0.010934347861679867
0.47000000000000003,0.0109087144790638,0,-0.03984687243836635,0.010016315821580921
0.47000000000000003,0.007199476052478802,0.05,-0.032898555306641285,0.010375594021210636
0.47000000000000003,-0.005357273148956704,0.1,-0.007718324825777379,0.010583572568403933
0.47000000000000003,-0.03694628146630702,0.15000000000000002,0.032856246998266087,0.010617695648337576
0.47000000000000003,-0.08677324498026201,0.2,0.08393243580827493,0.010595808708055578
0.47000000000000003,-0.136773244980262,0.25,0.1339315840022744,0.01057684129919782
0.48000000000000004,0.0126625765436932,0,-0.040181251254150625,0.009856634440582893
0.48000000000000004,0.009501760806921403,0.05,-0.0311933009215005,0.010093675595414556
0.48000000000000004,4.836691632787993e-4,0.1,-0.010106886576078134,0.010237693003083677
0.48000000000000004,-0.025194252219526023,0.15000000000000002,0.026478753613452866,0.010267246691118509
0.48000000000000004,-0.07431589894576501,0.2,0.07542013546693882,0.010239778908108678
0.48000000000000004,-0.124315898945765,0.25,0.12541778191315797,0.010218406304989948
0.49,0.0143744875834856,0,-0.041218372460660166,0.00969874939864646
0.49,0.011630804942986003,0.05,-0.02873643646984254,0.009818837216399
0.49,0.0064312690116652,0.1,-0.013334728487215798,0.009889089761662865
0.49,-0.007934844930656021,0.15000000000000002,0.017593982532832186,0.009912199345157705
0.49,-0.05294762381824902,0.2,0.06269424788438671,0.009885597472489144
0.49,-0.10294762381824901,0.25,0.11269330579134686,0.009860338285349943
0.5,0.0161354952691527,0,-0.041011976963991774,0.009546581477411185
0.5,0.013638786832836702,0.05,-0.02861290170019735,0.0095461494734338
0.5,0.012059699327821999,0.1,-0.016354654408309976,0.009545900928477395
0.5,0.012928477456705972,0.15000000000000002,-0.0030594284057945185,0.009546906088900636
0.5,0.017848989608563015,0.2,-0.006206545585225619,0.009550360910274334
0.5,-0.004608457018108997,0.25,0.016818327171307153,0.009535013926483784
0.51,0.0175110195952148,0,-0.04107183093913632,0.009395528554653233
0.51,0.015640741213730103,0.05,-0.030213805646696297,0.009277604252002355
0.51,0.017248693122561998,0.1,-0.016985673445531212,0.009206852962297972
0.51,0.03191867439198902,0.15000000000000002,-0.01943525800532158,0.009188026796663827
0.51,0.07682377677020301,0.2,-0.062080027926141916,0.00921920681342199
0.51,0.126823776770203,0.25,-0.11011924361241643,0.009261145062087283
0.52,0.019266737689893,0,-0.03960967300589312,0.00924904303038324
0.52,0.017708011299532894,0.05,-0.030763316026657776,0.009008597453159925
0.52,0.022922328247496612,0.1,-0.02052802441882348,0.008872278493423308
0.52,0.04812051568890102,0.15000000000000002,-0.03309490535124887,0.008837867392438746
0.52,0.09641089704833901,0.2,-0.07772402482628385,0.008872629635907065
0.52,0.14641089704833898,0.25,-0.12387787098012999,0.008914692089661254
0.53,0.0210108048037149,0,-0.038089487600685354,0.009101473710881765
0.53,0.019925083690176003,0.05,-0.03180208212774031,0.008744915434926611
0.53,0.028252120953191406,0.1,-0.021494156907729937,0.008539367947385449
0.53,0.06138010856706502,0.15000000000000002,-0.043639562578519954,0.008500092421261915
0.53,0.1109316615151758,0.2,-0.08754573950967828,0.008535151644741596
0.53,0.1609316615151758,0.25,-0.1318853621511877,0.008576815327021882
0.54,0.0226587895938807,0,-0.03756304477114278,0.008955762553622165
